CTIME   MINMEM  MAXMEM  CACHE   MINCANAL MAXCANAL RELREND MARCA
125	256	6000	256	16	128	198	A
29	8000	32000	32	8	32	269	A
29	8000	32000	32	8	32	220	A
29	8000	32000	32	8	32	172	A
29	8000	16000	32	8	16	132	A
26	8000	32000	64	8	32	318	A
23	16000	32000	64	16	32	367	A
23	16000	32000	64	16	32	489	A
23	16000	64000	64	16	32	636	A
23	32000	64000	128	32	64	1144	A
400	1000	3000	0	1	2	38	A
400	512	3500	4	1	6	40	A
60	2000	8000	65	1	8	92	A
50	4000	16000	65	1	8	138	A
350	64	64	0	1	4	10	A
200	512	16000	0	4	32	35	A
167	524	2000	8	4	15	19	A
143	512	5000	0	7	32	28	A
143	1000	2000	0	5	16	31	A
110	5000	5000	142	8	64	120	A
143	1500	6300	0	5	32	30	A
143	3100	6200	0	5	20	33	A
143	2300	6200	0	6	64	61	A
110	3100	6200	0	6	64	76	A
320	128	6000	0	1	12	23	A
320	512	2000	4	1	3	69	B
320	256	6000	0	1	6	33	B
320	256	3000	4	1	3	27	B
320	512	5000	4	1	5	77	B
320	256	5000	4	1	6	27	B
25	1310	2620	131	12	24	274	B
25	1310	2620	131	12	24	368	B
50	2620	10480	30	12	24	32	B
50	2620	10480	30	12	24	63	B
56	5240	20970	30	12	24	106	B
64	5240	20970	30	12	24	208	B
50	500	2000	8	1	4	20	B
50	1000	4000	8	1	5	29	B
50	2000	8000	8	1	5	71	B
50	1000	4000	8	3	5	26	B
50	1000	8000	8	3	5	36	B
50	2000	16000	8	3	5	40	B
50	2000	16000	8	3	6	52	B
50	2000	16000	8	3	6	60	B
133	1000	12000	9	3	12	72	B
133	1000	8000	9	3	12	72	B
810	512	512	8	1	1	18	B
810	1000	5000	0	1	1	20	B
320	512	8000	4	1	5	40	B
200	512	8000	8	1	8	62	C
700	384	8000	0	1	1	24	C
700	256	2000	0	1	1	24	C
140	1000	16000	16	1	3	138	C
200	1000	8000	0	1	2	36	C
110	1000	4000	16	1	2	26	C
110	1000	12000	16	1	2	60	C
220	1000	8000	16	1	2	71	C
800	256	8000	0	1	4	12	C
800	256	8000	0	1	4	14	C
800	256	8000	0	1	4	20	C
800	256	8000	0	1	4	16	C
800	256	8000	0	1	4	22	C
125	512	1000	0	8	20	36	C
75	2000	8000	64	1	38	144	C
75	2000	16000	64	1	38	144	C
75	2000	16000	128	1	38	259	C
